fontname,width,height
텐바이텐 폰트,23.5,17
텐바이텐 폰트 Bold,30.0,24
116앵무부리,6.5,6
116수박화체,31.5,8
12롯데마트드림Bold,26.0,21
12롯데마트드림Light,14.5,12
12롯데마트드림Medium,21.0,17
12롯데마트행복Bold,31.5,25
12롯데마트행복Light,26.5,21
12롯데마트행복Medium,29.5,23
도서관체,27.5,20
성동고딕,30.5,22
성동고딕B,25.0,18
경기천년제목 Bold,35.0,26
경기천년제목 Medium,28.0,21
경기천년제목V Bold,35.0,26
경기천년바탕 Bold,21.0,16
경기천년바탕 Regular,14.0,12
빛고을광주체 Light,25.0,9
빛고을광주체 Medium,29.5,14
빛고을광주체 Bold,32.5,18
김포평화바탕,17.5,12
순천체R,18.0,16
순천체B,26.0,23
전주완판본 순체 B,27.5,15
전주완판본 순체 L,18.5,11
전주완판본 순체 R,23.5,13
전주완판본 각체 B,27.5,15
전주완판본 각체 L,18.5,11
전주완판본 각체 R,23.5,13
유토이미지 고딕 R,18.5,16
유토이미지 별나라달님체,27.0,16
유토이미지 빨간우체통체,19.0,18
유토이미지 플라워체,19.5,10
유토이미지체,27.0,25
유토이미지 고딕 B,24.0,19
유토이미지 고딕 L,13.5,13
아리따 부리 B,28.0,15
아리따 부리 L,12.0,7
아리따 부리 M,17.0,8
아리따 부리 SB,23.0,11
애터미체 Bold,30.5,26
애터미체 Light,14.0,12
애터미체 Medium,22.0,19
a타이틀고딕2,23.0,19
a타이틀고딕3,29.5,25
a타이틀고딕4,36.0,30
바른바탕체 B,24.5,12
바른바탕체 L,16.5,9
바른바탕체 M,21.0,11
바탕체,14.0,9
넥슨 배찌체,22.5,21
빙그레체,21.0,17
빙그레 메로나체 Bold,31.0,26
빙그레 메로나,19.5,16
빙그레 싸만코체 Bold,26.5,18
빙그레 싸만코체,16.0,14
빙그레체Ⅱ,20.0,14
도현체,35.0,31
을지로10년후체,36.0,28
을지로체,36.5,28
한나체 Air,18.0,15
한나체 Pro,32.5,28
한나는11살체,32.5,29
주아체,30.5,32
기랑해랑체,27.5,17
연성체,25.0,19
부산체,29.5,25
카페24 당당해체,35.5,13
카페24 단정해체,34.5,13
카페24 동동체,20.0,19
카페24 아네모네 에어체,16.5,15
카페24 빛나는별체,13.0,12
카페24 쑥쑥체,20.0,17
카페24 숑숑체,21.0,19
창원단감아삭체 Bold,62.5,59
쿠키런체 Black,50.0,49
쿠키런체 Bold,39.0,35
디자인하우스체,28.0,20
디자인하우스체 Light,9.0,9
영양군 음식디미방체,23.0,17
동글 Bold,19.5,19
동글 Light,10.0,9
동글 Regular,15.5,14
도스고딕,14.5,14
도스이야기 굵은체,29.0,14
도스명조,26.0,53
도스필기,28.5,14
도스샘물,14.0,15
돋움체,13.5,10
둥근모꼴,29.0,15
DX아리랑 B,34.0,25
DX아우라,26.0,14
DX작가세상 M,24.0,18
DX방탄고딕,48.0,39
DX봄결 ExBold,37.0,30
DX블루마린라운드 ExBold,41.5,32
DX어린이그림,36.0,35
DX동화나라 Bold,40.5,39
DX퓨리티 Bold,34.5,24
DX헤드02 Bold,41.0,26
DX설레임2 Medium,16.0,15
DX설레임 Medium,16.0,15
DX우등생 Bold,25.5,23
DX한울 Bold,19.0,17
DX경필명조 Bold,16.5,12
DX모던고딕 Bold,25.0,21
DX모던고딕 RoundBold,25.5,21
DX국민시대 Regular,42.0,37
DX새신문명조 Bold,17.0,12
DX프로방스 Bold,35.0,23
DX르네상스 Bold,26.5,23
DX단선고딕 Thin,8.5,8
DX신문명조,12.0,6
DX스피드 Medium,39.0,21
DX우리강산 Bold,36.5,30
EBS주시경B,28.5,31
EBS주시경L,19.0,22
EBS주시경M,24.5,27
마초체,33.0,23
엘리스디지털배움체 Regular,19.0,16
설립체,43.0,16
가비아 청연체,14.5,9
가비아 마음결체,15.5,10
가비아 봄바람체,21.5,20
가비아 납작블럭체,26.0,20
가비아 솔미체,21.5,20
가나초콜릿체,49.5,10
고도체 B,34.5,28
고도체 M,26.0,23
고양덕양체 B,29.0,24
고양덕양체 EB,34.5,28
굴림체,14.0,13
HY그래픽M,15.5,7
HY견고딕,34.0,29
HY중고딕,15.5,13
HY헤드라인M,33.0,24
HY견명조,26.5,17
HY신명조,15.0,7
HY얕은샘물M,19.0,18
함렡체 Black,47.0,32
함렡체 Bold,36.5,26
함렡체 Light,16.5,13
함렡체 Regular,20.0,16
한컴 백제 B,29.5,27
함초롬바탕체,15.5,9
함초롬바탕체 B,24.5,13
한글누리체,27.0,22
한글누리체 R,17.0,14
한겨레결체,16.5,12
한컴 바겐세일 B,31.0,26
한컴 바겐세일 M,23.0,22
한솔체 B,34.0,21
한솔체 M,31.0,19
한컴 소망 B,35.0,25
한컴 소망 M,28.5,20
HanS 붐붐,36.5,33
윤고딕 230,23.5,19
윤고딕 240,27.5,23
Headline,31.5,29
빛의계승자체 Bold,27.5,15
빛의계승자체 Regular,18.5,11
휴먼굵은팸체,26.5,25
휴먼굵은샘체,26.5,25
휴먼가는팸체,10.5,10
휴먼가는샘체,10.5,10
휴먼아미체,13.0,8
휴먼고딕,18.0,14
휴먼명조,15.0,8
휴먼매직체,27.0,14
휴먼옛체,29.0,25
휴먼둥근헤드라인,44.0,31
휴먼중간샘체,18.0,18
HS새마을체 Regular,28.0,28
HS겨울눈꽃체,36.0,48
HS두꺼비체,48.5,36
HS봄바람체 2.0,34.0,5
HS새마을체,28.5,28
HY 바다 L,20.5,10
HY 바다 M,28.5,13
HY 그래픽,15.5,7
HY 강 B,22.5,21
HY 강 M,19.0,17
이롭게 바탕체,17.5,13
한글재민체,19.5,15
제주고딕,27.0,21
제주한라산,31.0,26
제주명조,16.0,8
정선아리랑체,20.5,24
정선아리랑혼체,22.0,19
정선아리랑뿌리체,20.5,15
KBIZ 한마음고딕 B,26.0,20
KBIZ 한마음고딕 H,30.0,25
KBIZ 한마음고딕 L,13.0,10
KBIZ 한마음고딕 M,23.0,18
KBIZ 한마음고딕 R,18.5,15
KBIZ 한마음명조 B,21.0,10
KBIZ 한마음명조 L,12.0,5
KBIZ 한마음명조 M,17.5,8
KBIZ 한마음명조 R,14.5,7
KCC안중근체,19.0,15
KCC임권택체,19.0,20
KCC김훈체,13.5,15
KCC은영체,9.0,9
KoPub 바탕체 Bold,25.5,14
KoPub 바탕체 Light,16.0,8
KoPub 바탕체 Medium,20.0,12
KoPub 돋움체 Bold,26.5,22
KoPub 돋움체 Light,15.0,12
KoPub 돋움체 Medium,18.5,16
코트라 희망체,30.5,19
코트라 도약체,35.0,21
코트라 볼드체,44.5,43
로커스 상상고딕체,23.5,23
맑은 고딕,17.0,15
메이플스토리 Bold,39.5,34
메이플스토리 Light,25.0,20
마포애민,28.5,16
마포배낭여행,26.5,25
마포다카포,9.5,5
마포홍대프리덤,34.5,34
마포마포나루,23.0,20
미래로글꼴,19.0,9
나눔손글씨 붓,11.0,19
나눔고딕에코,16.0,14
나눔고딕에코 Bold,27.5,22
나눔고딕에코 ExtraBold,33.0,26
나눔명조,16.0,8
나눔명조에코,16.0,8
나눔명조에코 Bold,21.5,11
나눔명조에코 ExtraBold,25.5,13
나눔손글씨 펜,14.5,16
나눔스퀘어,16.0,15
넷마블체 B,34.5,27
넷마블체 L,16.0,14
넷마블체 M,25.5,20
넥센타이어체 Bold,38.5,28
넥센타이어체 Regular,32.0,21
닉스곤체 B 2.0,28.5,26
닉스곤체 M 2.0,14.5,13
ON I고딕,21.5,18
원스토어 모바일POP체,40.5,38
포천 오성과한음체 Bold,30.5,24
포천 오성과한음체 Regular,17.0,13
푸른전남체 Bold,32.5,24
푸른전남체 Medium,25.5,20
푸른전남체,18.0,14
평창평화체 Bold,46.5,36
평창평화체 Light,14.0,12
노회찬체,18.5,23
삼국지3글꼴,29.0,15
상주다정다감체,19.5,16
상주곶감체,49.0,18
상주경천섬체,44.0,18
산돌독수리체,36.5,34
산돌이야기체,20.5,17
세방고딕 Bold,38.5,31
세방고딕,23.5,20
서울남산체,21.5,17
SF망고빙수,29.0,26
스포카 한 산스 Bold,31.0,25
스포카 한 산스 Light,12.5,10
스포카 한 산스 Regular,19.0,15
스포카 한 산스 Thin,8.0,7
정묵바위체,26.0,30
순바탕 Bold,28.5,14
순바탕 Light,16.5,10
순바탕 Medium,23.5,11
태-조각TB,36.5,27
태-으뜸B,25.0,23
THE뉴스속보,26.0,13
THE명품굴림B,26.0,22
THE선인장,23.0,10
THE정직,23.0,20
티몬체,47.0,36
tvN 즐거운이야기 Bold,20.0,12
tvN 즐거운이야기 Light,12.0,4
tvN 즐거운이야기 Medium,14.5,7
티웨이 항공체,30.0,24
티웨이 날다체,29.0,24
티웨이 하늘체,49.5,12
타이포 발레리나 B,21.0,17
타이포 발레리나 M,16.5,13
타이포 도담,31.0,26
타이포 돈키왕자 M,18.0,15
타이포 어울림 B,27.5,25
타이포 어울림 L,18.5,17
타이포 어울림 M,23.0,21
타이포 홍익인간 M,25.0,22
타이포 정조 M,20.0,15
타이포 세종대왕 훈민,26.0,23
타이포 달꽃,29.5,16
타이포 명탐정,31.0,19
타이포 씨고딕180,35.5,29
타이포 씨명조180,30.0,15
타이포 스톰 B,44.0,32
어비 꿍디체,43.5,39
어비 나현체 Bold,14.5,15
어비 나현체,11.0,12
어비 남지은체 Bold,18.0,17
어비 남지은체,15.0,12
어비 소윤체,10.0,9
어비 선홍체 BOLD,16.5,17
어비 선홍체,13.0,15
어비 스윗체,20.5,21
어비 순수결정체 Bold,14.0,13
어비 순수결정체,9.0,9
양굵은구조고딕,31.5,31
양평군체 B,37.0,25
양평군체 L,17.0,15
양평군체 M,26.5,20
Y이드스트릿체 B,31.5,24
Y이드스트릿체 L,20.5,16
영도체,19.5,17
양재깨비체M,27.5,25
청소년체,25.0,20
강한육군 Bold Vert,33.0,28
강한육군 Bold,33.0,28
강한육군 Medium Vert,25.0,21
강한육군 Medium,25.0,21
경기천년제목 Light,18.0,14
고양일산 R,17.5,15
국립박물관문화재단클래식B,35.5,15
국립박물관문화재단클래식L,19.5,7
국립박물관문화재단클래식M,28.5,11
국립중앙도서관글자체,28.0,20
나눔손글씨 가람연꽃,10.0,7
나눔손글씨 갈맷글,25.0,27
나눔손글씨 강부장님체,9.0,10
나눔손글씨 고딕 아니고 고딩,11.0,9
나눔손글씨 고려글꼴,16.0,16
나눔손글씨 곰신체,8.0,8
나눔손글씨 규리의 일기,7.0,6
나눔손글씨 김유이체,7.0,6
나눔손글씨 꽃내음,11.0,8
나눔손글씨 끄트머리체,18.0,11
나눔손글씨 다행체,12.0,10
나눔손글씨 대광유리,8.0,6
나눔손글씨 딸에게 엄마가,7.0,7
나눔손글씨 반짝반짝 별,5.5,7
나눔손글씨 세계적인 한글,9.0,8
나눔손글씨 세아체,8.0,7
나눔손글씨 세화체,11.5,9
나눔손글씨 소방관의 기도,6.5,6
나눔손글씨 시우 귀여워,7.0,6
나눔손글씨 신혼부부,8.0,7
나눔손글씨 아빠의 연애편지,11.0,8
나눔손글씨 아줌마 자유,19.0,12
나눔손글씨 엄마사랑,9.0,8
나눔손글씨 와일드,10.0,9
나눔손글씨 외할머니글씨,7.5,5
나눔손글씨 유니 띵땅띵땅,7.0,6
나눔손글씨 자부심지우,7.5,8
나눔손글씨 잘하고 있어,7.0,7
나눔손글씨 장미체,15.0,17
나눔손글씨 점꼴체,5.5,6
나눔손글씨 정은체,6.5,7
나눔손글씨 중학생,11.5,13
나눔손글씨 진주 박경아체,9.5,9
나눔손글씨 철필글씨,6.5,7
나눔손글씨 칼국수,12.5,10
나눔손글씨 코코체,8.5,9
나눔손글씨 한윤체,9.0,9
나눔손글씨 행복한 도비,6.0,5
나눔손글씨 혜준체,8.0,7
나눔손글씨 희망누리,9.5,8
나눔손글씨 흰꼬리수리,10.0,8
동그라미재단B,25.5,23
동그라미재단L,16.5,13
동그라미재단M,21.0,18
문화재돌봄체 Bold,30.5,24
문화재돌봄체 Regular,20.0,17
배스킨라빈스 B,33.5,31
비트로 코어체,59.5,43
비트로 프라이드체,15.0,12
서울남산 장체 B,21.5,18
서울남산 장체 BL,29.5,27
서울남산 장체 EB,25.0,22
서울남산 장체 L,14.5,12
서울남산 장체 M,18.0,16
서울한강 장체 B,21.0,16
서울한강 장체 BL,31.0,20
서울한강 장체 EB,26.0,18
서울한강 장체 L,16.0,12
서울한강 장체 M,19.0,14
솔뫼 김대건 Light,19.5,17
솔뫼 김대건 Medium,25.0,19
솔인써니체,14.5,15
양진체,36.5,33
온글잎 경영체,10.0,9
온글잎 만두몽키체,10.5,9
온글잎 무궁체,10.5,8
온글잎 민혜체,9.0,9
온글잎 보현체,13.5,13
온글잎 석영체,15.0,14
온글잎 안될과학궤도체,8.0,7
온글잎 안될과학약체,9.0,9
온글잎 안될과학유니랩장체,10.0,8
온글잎 윤우체,11.5,11
온글잎 의연체,14.0,13
온글잎 해솜체,15.5,16
이순신돋움체B,29.5,23
이순신돋움체L,12.0,10
이순신돋움체M,23.0,17
조선일보명조,13.5,7
중나좋체 Light,19.5,14
중나좋체 Medium,32.5,25
한글틀고딕,18.0,15
한수원_한돋음_B,30.0,26
한돋음체 R,24.5,21
한울림체 R,19.0,15
해수체B,29.5,20
해수체L,16.0,13
해수체M,23.0,17
행복고흥B,21.0,23
행복고흥L,11.0,11
행복고흥M,16.0,18
헬스셋고딕Bold,22.5,21
헬스셋고딕Light,15.5,14
헬스셋조릿대Std,22.5,25
